timestamp,category,slug,status,http_code,error
2026-07-18 04:42:59,Agents,admapix,success,200,
2026-07-18 04:43:11,Agents,ai-agent-helper,success,200,
2026-07-18 04:43:23,Agents,aws-agentcore-langgraph,success,200,
2026-07-18 04:43:36,Agents,aws-infra,success,200,
2026-07-18 04:43:48,Agents,azure-infra,success,200,
2026-07-18 04:44:01,Agents,baidu-netdisk-skills,success,200,
2026-07-18 04:44:15,Agents,claude,success,200,
2026-07-18 04:44:27,Agents,elite-longterm-memory,success,200,
2026-07-18 04:44:39,Agents,elite-longterm-memory-local,success,200,
2026-07-18 04:44:51,Agents,memory,success,200,
2026-07-18 04:45:04,Agents,memory-compress,success,200,
2026-07-18 04:45:18,Agents,memory-scan,success,200,
2026-07-18 04:45:31,Agents,neosoul-decision-agent,success,200,
2026-07-18 04:45:47,Agents,neural-memory-enhanced,success,200,
2026-07-18 04:45:59,Agents,ontology,success,200,
2026-07-18 04:46:12,Agents,productivity,success,200,
2026-07-18 04:46:24,Agents,redis-store,success,200,
2026-07-18 04:46:36,Agents,self-improving,success,200,
2026-07-18 04:46:48,Agents,self-improving-agent,success,200,
2026-07-18 04:47:00,Agents,simple-memory-skill,success,200,
2026-07-18 04:47:13,Agents,smart-memory-manager,success,200,
2026-07-18 04:47:25,Agents,subagent-driven-development,success,200,
2026-07-18 04:47:37,Agents,token-saver-skill,success,200,
2026-07-18 04:47:49,Agents,totalreclaw,success,200,
2026-07-18 04:48:00,Automation,afrexai-business-automation,success,200,
2026-07-18 04:48:12,Automation,automate-excel,success,200,
2026-07-18 04:48:24,Automation,automation-workflow-builder,success,200,
2026-07-18 04:48:36,Automation,automation-workflows,success,200,
2026-07-18 04:48:47,Automation,automation-workflows-0-1-0,success,200,
2026-07-18 04:48:59,Automation,auto-updater,success,200,
2026-07-18 04:49:12,Automation,auto-workflow,success,200,
2026-07-18 04:49:23,Automation,batch,success,200,
2026-07-18 04:49:35,Automation,browser-automation-cdp,success,200,
2026-07-18 04:49:47,Automation,clawsec-feed,success,200,
2026-07-18 04:49:59,Automation,cloud-infra-automation,success,200,
2026-07-18 04:50:11,Automation,control,success,200,
2026-07-18 04:50:22,Automation,cron,success,200,
2026-07-18 04:50:35,Automation,cron-helper,success,200,
2026-07-18 04:50:46,Automation,cron-mastery,success,200,
2026-07-18 04:50:59,Automation,cron-worker-guardrails,success,200,
2026-07-18 04:51:11,Automation,desktop-control,success,200,
2026-07-18 04:51:24,Automation,drawing-analyzer,success,200,
2026-07-18 04:51:35,Automation,jlc-eda-drawing,success,200,
2026-07-18 04:51:47,Automation,kyaukyuai-linear-cli,success,200,
2026-07-18 04:51:59,Automation,linear-autopilot,success,200,
2026-07-18 04:52:11,Automation,macro-monitor,success,200,
2026-07-18 04:52:22,Automation,node-red-manager,success,200,
2026-07-18 04:52:34,Automation,obsidian,success,200,
2026-07-18 04:52:46,Automation,obsidian-1-0-0,success,200,
2026-07-18 04:52:57,Automation,obsidian-notesmd-cli,success,200,
2026-07-18 04:53:09,Automation,office-automation-pro,success,200,
2026-07-18 04:53:19,Automation,openclaw-automation-recipes,fail,1,Error: "openclaw-automation-recipes" uses the protected "openclaw" slug namespace. Choose a slug that does not start with "openclaw-" or end with "-openclaw". (reset in 50s)
